"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"75","19","Billingham","Preston","Second Half",01:06:10,"Carry",25.97,14.9,27.68,14.9,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,1.71,"Own 22 to Halfway"
"76","1","Billingham","Preston","Second Half",01:06:20,"Carry",24.61,20.29,27.17,21.52,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.84,"Own 22 to Halfway"
"77","15","Billingham","Preston","Second Half",01:08:32,"Carry",25.63,64.53,35.34,46.57,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,20.42,"Own 22 to Halfway"
"78","8","Billingham","Preston","Second Half",01:08:40,"Carry",50.16,35,62.42,21.41,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,18.3,"Halfway to Opposition 22"
"79","19","Billingham","Preston","Second Half",01:08:47,"Carry",58.17,31.07,60.21,31.29,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.05,"Halfway to Opposition 22"
"80","1","Billingham","Preston","Second Half",01:08:55,"Carry",56.63,38.7,58,39.04,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,1.41,"Halfway to Opposition 22"
"81","30","Billingham","Preston","Second Half",01:08:58,"Carry",58.17,39.04,62.94,39.38,"GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,4.78,"Halfway to Opposition 22"
"82","27","Billingham","Preston","Second Half",01:09:10,"Carry",57.14,16.36,70.94,19.05,"GLS",0,0,"Other","On Target","Multi-Phase",NA,14.06,"Halfway to Opposition 22"
"83","10","Billingham","Preston","Second Half",01:09:20,"Carry",63.79,32.98,66.51,34.32,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.03,"Halfway to Opposition 22"
"84","6","Billingham","Preston","Second Half",01:09:28,"Carry",63.79,31.85,65.15,32.3,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,1.43,"Halfway to Opposition 22"
"85","27","Billingham","Preston","Second Half",01:09:37,"Carry",61.23,18.04,66.34,28.49,"GLS",0,0,"Other","On Target","Multi-Phase",NA,11.63,"Halfway to Opposition 22"
"86","4","Billingham","Preston","Second Half",01:09:48,"Carry",61.57,42.07,62.6,41.85,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,1.05,"Halfway to Opposition 22"
"87","27","Billingham","Preston","Second Half",01:09:54,"Carry",63.62,37.24,65.15,33.88,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.69,"Halfway to Opposition 22"
"88","6","Billingham","Preston","Second Half",01:10:01,"Carry",66.17,27.14,68.39,18.49,"GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,8.93,"Halfway to Opposition 22"
"89","8","Billingham","Preston","Second Half",01:15:23,"Carry",16.44,13.44,20.69,13.32,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4.25,"Own 22"
"90","18","Billingham","Preston","Second Half",01:15:27,"Carry",21.21,14.78,33.81,21.19,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,14.14,"Own 22"
"91","5","Billingham","Preston","Second Half",01:15:37,"Carry",26.66,20.06,31.25,13.66,"GLS",0,0,"Other","On Target","Multi-Phase",NA,7.88,"Own 22 to Halfway"
"92","14","Billingham","Preston","Second Half",01:15:52,"Carry",25.63,56,49.99,64.2,"GLS",0,0,"Other","On Target","Multi-Phase",NA,25.7,"Own 22 to Halfway"
"93","5","Billingham","Preston","Second Half",01:16:04,"Carry",40.96,14.22,49.31,8.05,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,10.38,"Own 22 to Halfway"
"94","8","Billingham","Preston","Second Half",01:16:10,"Carry",52.89,23.21,56.8,21.97,"GLS",0,0,"Other","On Target","Multi-Phase",NA,4.1,"Halfway to Opposition 22"
"95","24","Billingham","Preston","Second Half",01:17:14,"Carry",37.05,11.86,59.02,14.22,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,22.1,"Own 22 to Halfway"
"96","8","Billingham","Preston","Second Half",01:17:20,"Carry",54.59,21.41,62.6,24.55,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,8.6,"Halfway to Opposition 22"
"97","27","Billingham","Preston","Second Half",01:18:34,"Carry",22.23,53.53,41.64,63.75,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,21.94,"Own 22 to Halfway"
"98","4","Billingham","Preston","Second Half",01:18:45,"Carry",29.38,25.79,35.17,16.13,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,11.26,"Own 22 to Halfway"
"99","19","Billingham","Preston","Second Half",01:18:52,"Carry",35.51,16.02,37.9,15.12,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,2.55,"Own 22 to Halfway"
"100","5","Billingham","Preston","Second Half",01:18:56,"Carry",33.64,27.14,34.49,27.7,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,1.02,"Own 22 to Halfway"
"101","27","Billingham","Preston","Second Half",01:19:09,"Carry",28.19,55.55,40.45,64.76,"GLS",0,0,"Other","On Target","Multi-Phase",NA,15.33,"Own 22 to Halfway"
"102","8","Billingham","Preston","Second Half",01:19:19,"Carry",28.87,15.01,28.87,15.01,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,0,"Own 22 to Halfway"
"103","30","Billingham","Preston","Second Half",01:19:46,"Carry",35.85,47.01,44.71,42.52,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,9.93,"Own 22 to Halfway"
"104","15","Billingham","Preston","Second Half",01:19:55,"Carry",44.03,33.31,72.64,31.97,"GLS",1,0,"Other","On Target","Multi-Phase",NA,28.64,"Own 22 to Halfway"
"105","12","Billingham","Preston","Second Half",01:19:59,"Carry",73.84,35.45,84.74,31.74,"No GLS",0,1,"Support Carry","On Target","Multi-Phase",NA,11.51,"Halfway to Opposition 22"
"106","15","Billingham","Preston","Second Half",01:19:59,"Carry",84.91,31.18,84.91,31.18,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,0,"Opposition 22"
"107","16","Billingham","Preston","Second Half",01:20:10,"Carry",76.56,50.16,79.8,51.28,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.43,"Halfway to Opposition 22"
"108","18","Billingham","Preston","Second Half",01:20:12,"Carry",79.8,51.28,79.97,52.07,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0.81,"Opposition 22"
