"","ID","Team","Opponent","Half","Minute","Event_Type","Tackle_Type","Outcome","Start_X","Start_Y","pitch_location","pitch_width"
"174","13","Billingham","Wharfedale","Second Half",01:20:59,"Tackle","Successful","Neutral",49.5,35.74,"Own 22 to Halfway","Between 15's"
"175","30","Billingham","Wharfedale","Second Half",01:21:01,"Tackle","Successful","Neutral",45.52,35.63,"Own 22 to Halfway","Between 15's"
"176","18","Billingham","Wharfedale","Second Half",01:22:34,"Tackle","Successful","Neutral",54.4,53.02,"Halfway to Opposition 22","Between 15's"
"177","12","Billingham","Wharfedale","Second Half",01:22:43,"Tackle","Successful","Neutral",51.19,13.86,"Halfway to Opposition 22","Lower 15"
"178","13","Billingham","Wharfedale","Second Half",01:22:44,"Tackle","Assist","Neutral",47.82,9.82,"Own 22 to Halfway","Lower 15"
"179","8","Billingham","Fylde","Second Half",00:49:03,"Tackle","Successful","Neutral",13.54,54.93,"Own 22","Between 15's"
"180","30","Billingham","Fylde","Second Half",00:49:10,"Tackle","Successful","Neutral",12.93,54.14,"Own 22","Between 15's"
"181","12","Billingham","Fylde","Second Half",00:49:10,"Tackle","Assist","Neutral",12.47,53.02,"Own 22","Between 15's"
"182","19","Billingham","Fylde","Second Half",00:50:11,"Tackle","Successful","Neutral",32.21,64.01,"Own 22 to Halfway","Upper 15"
"183","30","Billingham","Fylde","Second Half",00:50:18,"Tackle","Successful","Neutral",31.6,54.81,"Own 22 to Halfway","Between 15's"
"184","18","Billingham","Fylde","Second Half",00:50:18,"Tackle","Assist","Neutral",32.67,54.93,"Own 22 to Halfway","Between 15's"
"185","19","Billingham","Fylde","Second Half",00:50:22,"Tackle","Successful","Dominant",25.94,51.67,"Own 22 to Halfway","Between 15's"
"186","7","Billingham","Fylde","Second Half",00:56:37,"Tackle","Missed","Neutral",59.91,8.03,"Halfway to Opposition 22","Lower 15"
"187","7","Billingham","Fylde","Second Half",00:58:16,"Tackle","Successful","Neutral",78.12,51.11,"Oppostion 22","Between 15's"
"188","30","Billingham","Fylde","Second Half",00:58:21,"Tackle","Successful","Neutral",78.43,54.03,"Oppostion 22","Between 15's"
"189","5","Billingham","Fylde","Second Half",00:58:21,"Tackle","Assist","Neutral",78.27,54.14,"Oppostion 22","Between 15's"
"190","19","Billingham","Fylde","Second Half",00:58:28,"Tackle","Successful","Neutral",77.97,51.9,"Halfway to Opposition 22","Between 15's"
"191","7","Billingham","Fylde","Second Half",00:58:29,"Tackle","Assist","Neutral",78.12,51.56,"Oppostion 22","Between 15's"
"192","4","Billingham","Fylde","Second Half",00:58:37,"Tackle","Successful","Neutral",78.27,33.16,"Oppostion 22","Between 15's"
"193","1","Billingham","Fylde","Second Half",01:03:02,"Tackle","Successful","Neutral",86.54,35.74,"Oppostion 22","Between 15's"
"194","7","Billingham","Fylde","Second Half",01:04:06,"Tackle","Successful","Neutral",86.08,49.54,"Oppostion 22","Between 15's"
"195","18","Billingham","Fylde","Second Half",01:11:16,"Tackle","Successful","Neutral",60.22,59.75,"Halfway to Opposition 22","Upper 15"
"196","20","Billingham","Fylde","Second Half",01:11:25,"Tackle","Successful","Neutral",67.56,45.39,"Halfway to Opposition 22","Between 15's"
"197","15","Billingham","Fylde","Second Half",01:11:44,"Tackle","Successful","Neutral",28.38,48.64,"Own 22 to Halfway","Between 15's"
"198","5","Billingham","Fylde","Second Half",01:11:45,"Tackle","Assist","Neutral",26.09,50.33,"Own 22 to Halfway","Between 15's"
"199","7","Billingham","Fylde","Second Half",01:11:53,"Tackle","Successful","Neutral",26.4,34.51,"Own 22 to Halfway","Between 15's"
"200","14","Billingham","Fylde","Second Half",01:18:53,"Tackle","Successful","Neutral",62.97,61.21,"Halfway to Opposition 22","Upper 15"
"201","9","Billingham","Fylde","Second Half",01:18:58,"Tackle","Successful","Neutral",62.82,57.28,"Halfway to Opposition 22","Upper 15"
"202","14","Billingham","Fylde","Second Half",01:19:55,"Tackle","Successful","Dominant",77.36,68.95,"Halfway to Opposition 22","Upper 15"
"203","9","Billingham","Fylde","Second Half",01:21:24,"Tackle","Missed","Passive",78.27,59.08,"Oppostion 22","Upper 15"
"204","7","Billingham","Fylde","Second Half",01:21:27,"Tackle","Missed","Passive",64.04,69.29,"Halfway to Opposition 22","Upper 15"
"205","7","Billingham","Fylde","Second Half",01:25:55,"Tackle","Missed","Passive",46.9,9.38,"Own 22 to Halfway","Lower 15"
