"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"74","18","Anselmians","Leek","Second Half",01:12:34,"Carry",49.14,34.55,59.53,36.68,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,10.61,"Own 22 to Halfway"
"75","22","Anselmians","Leek","Second Half",01:20:12,"Carry",1.61,38.48,1.61,37.24,"No GLS",0,0,"Support Carry",NA,"Multi-Phase",NA,1.24,"Own 22"
"76","2","Anselmians","Leek","Second Half",01:21:08,"Carry",23.58,13.66,38.4,6.13,"GLS",0,0,"Other","On Target","Multi-Phase",NA,16.62,"Own 22 to Halfway"
"77","15","Anselmians","Leek","Second Half",01:22:56,"Carry",39.94,47.58,68.73,53.98,"GLS",1,0,"Other","On Target","Multi-Phase",NA,29.49,"Own 22 to Halfway"
"78","11","Anselmians","Leek","Second Half",01:23:00,"Carry",69.07,54.77,100.24,54.43,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,31.17,"Halfway to Opposition 22"
"79","2","Anselmians","Leek","Second Half",01:30:42,"Carry",44.03,58.7,51.52,57.57,"GLS",0,0,"Other",NA,"Multi-Phase",NA,7.57,"Own 22 to Halfway"
"80","6","Anselmians","Leek","Second Half",01:30:47,"Carry",48.29,54.54,52.03,51.62,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.74,"Own 22 to Halfway"
"81","1","Anselmians","Leek","Second Half",01:30:56,"Carry",44.71,39.83,52.2,37.81,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.76,"Own 22 to Halfway"
"82","15","Anselmians","Leek","Second Half",01:31:05,"Carry",44.54,14.22,52.71,7.82,"GLS",0,0,"Other","On Target","Multi-Phase",NA,10.38,"Own 22 to Halfway"
"83","6","Anselmians","Leek","Second Half",01:31:12,"Carry",48.11,14.78,55.61,12.53,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.83,"Own 22 to Halfway"
