"","ID","game_day","Altitude_Desc","Soreness_1","Distance","Distancemin","HighSpeedRunning","HSRmin","PlayerLoad","Playerloadmin"
"88",188,"GD -2","Low",8,3505,73.02083333,267,5.5625,334.1669922,6.961812338
"89",714,"GD -2","Low",7,2710,67.75,0,0,311.6712646,7.791781615
"90",8,"GD -2","Moderate",7,2894,76.15789474,129,3.394736842,287,7.552631579
"91",10,"GD -2","Moderate",8,2898,78.32432432,147,3.972972973,275,7.432432432
"92",109,"GD -2","Moderate",9,2904,82.97142857,139,3.971428571,268,7.657142857
"93",136,"GD -2","Moderate",10,2738,78.22857143,147,4.2,285,8.142857143
"94",222,"GD -2","Moderate",6,2861,79.47222222,142,3.944444444,268,7.444444444
"95",897,"GD -2","Moderate",7,2816,82.82352941,131,3.852941176,303,8.911764706
"96",987,"GD -2","Moderate",8,2647,69.65789474,141,3.710526316,295,7.763157895
"97",8,"GD","Sea Level",7,8800,89.79591837,445,4.540816327,759.7373047,7.752421477
"98",8,"GD","Sea Level",6,9887,100.8877551,787,8.030612245,987,10.07142857
"99",10,"GD","Sea Level",6,10269,104.7857143,476,4.857142857,962.4030151,9.82043893
"100",10,"GD","Sea Level",5,10340,105.5102041,564,5.755102041,1175,11.98979592
"101",27,"GD","Sea Level",6,10000,102.0408163,339,3.459183673,929.6151123,9.485868493
"102",30,"GD","Sea Level",6,8878,113.8205128,634,8.128205128,851.9910889,10.92296268
"103",95,"GD","Sea Level",7,9948,101.5102041,201,2.051020408,926.6028442,9.455131063
"104",109,"GD","Sea Level",7,9495,96.8877551,400,4.081632653,798.5256348,8.148220763
"105",109,"GD","Sea Level",6,9434,96.26530612,438,4.469387755,851,8.683673469
"106",178,"GD","Sea Level",NA,7981,98.5308642,463,5.716049383,792,9.777777778
"107",188,"GD","Sea Level",8,9556,97.51020408,413,4.214285714,963.0942993,9.82749285
"108",642,"GD","Sea Level",6,10681,108.9897959,800,8.163265306,1028,10.48979592
"109",666,"GD","Sea Level",NA,9382,95.73469388,272,2.775510204,994,10.14285714
"110",2,"GD","Low",7,4500,75,491,8.183333333,457.7853394,7.629755657
"111",9,"GD","Low",7,7103,85.57831325,421,5.072289157,831.6600342,10.02000041
"112",10,"GD","Low",6,9987,92.47222222,605,5.601851852,938.9990234,8.694435402
"113",10,"GD","Low",NA,9944,110.4888889,516,5.733333333,969,10.76666667
"114",27,"GD","Low",7,9782,90.57407407,337,3.12037037,930.1463623,8.612466318
"115",27,"GD","Low",5,9772,108.5777778,381,4.233333333,978.9798584,10.87755398
"116",64,"GD","Low",4,8564,95.15555556,406,4.511111111,822.1599121,9.135110134
"117",84,"GD","Low",7,10146,93.94444444,675,6.25,1013.770935,9.386767917
"118",89,"GD","Low",6,7686,120.09375,440,6.875,763.1612549,11.92439461
"119",95,"GD","Low",6,10099,112.2111111,235,2.611111111,900.6741333,10.00749037
"120",109,"GD","Low",5,9732,108.1333333,403,4.477777778,950.3840942,10.55982327
"121",137,"GD","Low",7,9282,103.1333333,578,6.422222222,816.6842041,9.074268934
"122",166,"GD","Low",8,7668,102.24,344,4.586666667,720.8934937,9.611913249
"123",2,"GD -1","Sea Level",4,2302,54.80952381,78,1.857142857,278,6.619047619
"124",4,"GD -1","Sea Level",6,2265,62.91666667,40,1.111111111,263.4111328,7.316975911
"125",8,"GD -1","Sea Level",9,2203,61.19444444,20,0.555555556,272.6612854,7.573924594
"126",8,"GD -1","Sea Level",NA,2310,60.78947368,79,2.078947368,280,7.368421053
"127",9,"GD -1","Sea Level",3,1974,54.83333333,19,0.527777778,260.9757996,7.249327767
"128",10,"GD -1","Sea Level",8,1962,54.5,44,1.222222222,211.6106567,5.878073797
"129",10,"GD -1","Sea Level",8,2357,57.48780488,75,1.829268293,261,6.365853659
"130",11,"GD -1","Sea Level",NA,2241,60.56756757,80,2.162162162,282,7.621621622
"131",16,"GD -1","Sea Level",5,2350,65.27777778,51,1.416666667,298.3686829,8.288018969
"132",27,"GD -1","Sea Level",6,2099,58.30555556,37,1.027777778,242.5166626,6.736573961
"133",30,"GD -1","Sea Level",9,2332,64.77777778,115,3.194444444,285.6195679,7.933876886
"134",84,"GD -1","Sea Level",7,2216,61.55555556,25,0.694444444,264.1984558,7.338845994
"135",91,"GD -1","Sea Level",10,1699,56.63333333,61,2.033333333,246.9263458,8.230878193
"136",95,"GD -1","Sea Level",7,1844,51.22222222,19,0.527777778,201.8562927,5.607119242
"137",109,"GD -1","Sea Level",3,1814,50.38888889,22,0.611111111,185.8827362,5.163409339
"138",109,"GD -1","Sea Level",NA,2427,60.675,75,1.875,275,6.875
"139",136,"GD -1","Sea Level",8,2001,55.58333333,32,0.888888889,185.0336304,5.139823067
