"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"36","22","HSFC","Scarborough","Second Half",01:02:14,"Carry",83.31,55.1,89.28,60.27,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,7.9,"Opposition 22"
"37","Joe Cholmondely","HSFC","Scarborough","Second Half",01:02:22,"Carry",84.19,54.77,89.98,49.94,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.54,"Opposition 22"
"38","Dan Waldock","HSFC","Scarborough","Second Half",01:02:27,"Carry",87.34,37.24,90.85,34.55,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.42,"Opposition 22"
"39","Matthew Fothergill","HSFC","Scarborough","Second Half",01:02:31,"Carry",88.92,33.54,90.5,34.66,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,1.94,"Opposition 22"
"40","Dan Waldock","HSFC","Scarborough","Second Half",01:02:41,"Carry",87.52,30.73,89.45,29.94,"GLS",1,1,"One Out","On Target","Multi-Phase",NA,2.09,"Opposition 22"
"41","Harry Hogg","HSFC","Scarborough","Second Half",01:02:46,"Carry",82.96,7.25,86.64,4.78,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.43,"Opposition 22"
"42","Riley Ward","HSFC","Scarborough","Second Half",01:03:10,"Carry",85.59,28.71,95.24,5.12,"No GLS",0,1,"Tap Pen","On Target","Penalty",NA,25.49,"Opposition 22"
"43","Charlie Evans","HSFC","Scarborough","Second Half",01:03:13,"Carry",95.24,5.12,100.15,4.22,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,4.99,"Opposition 22"
"44","Dan Waldock","HSFC","Scarborough","Second Half",01:05:03,"Carry",20.49,16.69,27.86,5.46,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,13.43,"Own 22"
"45","Charlie Evans","HSFC","Scarborough","Second Half",01:05:14,"Carry",21.9,18.94,39.09,17.81,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,17.23,"Own 22"
"46","23","HSFC","Scarborough","Second Half",01:00:28,"Carry",54.71,49.49,51.37,51.28,"No GLS",0,0,"Other","Off Target","Scrum",NA,3.79,"Halfway to Opposition 22"
