ID,Opposition,TD,MPM,HSR,SD,TS,Accels,Decels,Max_Accel,Max_Decel,cv_Accels,cv_Decels,cv_HSR,cv_MPM,cv_Max_Accel,cv_Max_Decel,cv_SD,cv_TD,cv_TS,TD_Sumcv,MPM_Sumcv,HSR_Sumcv,SD_Sumcv,TS_Sumcv,Accels_Sumcv,Decels_Sumcv,Max_Accel_Sumcv,Max_Decel_Sumcv,TD_Subcv,MPM_Subcv,HSR_Subcv,SD_Subcv,TS_Subcv,Accels_Subcv,Decels_Subcv,Max_Accel_Subcv,Max_Decel_Subcv
Ath1,Harrogate,5198.097,63.3657,859.2438,180.896,6.4534,0,0,4.4852,7.3186,,,39.88924933,27.47687655,58.23806546,51.87046408,49.02774214,25.55703399,5.452202412,5223.654034,90.84257655,899.1330493,229.9237421,11.90560241,,,62.72326546,59.18906408,5172.539966,35.88882345,819.3545507,131.8682579,1.001197588,,,-53.75286546,-44.55186408
Ath2,Harrogate,5068.483,61.7857,1233.953,286.067,7.0867,0,0,4.7223,6.3512,,,24.93300909,7.866548068,8.691736048,8.999338154,35.37852387,22.44240164,6.216459097,5090.925402,69.65224807,1258.886009,321.4455239,13.3031591,,,13.41403605,15.35053815,5046.040598,53.91915193,1209.019991,250.6884761,0.870240903,,,-3.969436048,-2.648138154
Ath3,Harrogate,4125.109,62.3599,893.1151,37.033,5.9023,0,0,4.1519,5.6623,,,75.72137583,63.18636466,56.44375076,62.13624412,58.60439044,65.65224392,55.9844513,4190.761244,125.5462647,968.8364758,95.63739044,61.8867513,,,60.59565076,67.79854412,4059.456756,-0.826464661,817.3937242,-21.57139044,-50.0821513,,,-52.29185076,-56.47394412
Ath6,Harrogate,5428.474,66.1874,1095.3994,230.418,7.769,0,0,5.4021,8.9964,,,18.38857011,13.17188731,58.72542358,41.30173538,22.77619317,9.854128346,10.48936568,5438.328128,79.35928731,1113.78797,253.1941932,18.25836568,,,64.12752358,50.29813538,5418.619872,53.01551269,1077.01083,207.6418068,-2.720365679,,,-53.32332358,-32.30533538
Ath5,Harrogate,4636.433,56.5189,927.1252,130.613,6.4267,0,0,5.6712,7.0312,,,24.04852892,17.33604156,56.16972124,56.81722424,31.00745653,17.59158591,6.989048381,4654.024586,73.85494156,951.1737289,161.6204565,13.41574838,,,61.84092124,63.84842424,4618.841414,39.18285844,903.0766711,99.60554347,-0.562348381,,,-50.49852124,-49.78602424
Ath8,Harrogate,5428.183,66.1839,1241.2477,346.597,7.4445,0,0,5.0748,7.8401,,,23.97661685,4.330120471,13.57179753,6.245739782,31.33980607,16.60110752,4.922784666,5444.784108,70.51402047,1265.224317,377.9368061,12.36728467,,,18.64659753,14.08583978,5411.581892,61.85377953,1217.271083,315.2571939,2.521715334,,,-8.496997533,1.594360218
Ath7,Harrogate,6237.792,78.7932,1718.5217,616.996,7.2489,0,0,5.5556,6.8112,,,21.32185624,15.82752004,51.28684932,43.80993558,20.55507787,5.530548935,4.383396279,6243.322549,94.62072004,1739.843556,637.5510779,11.63229628,,,56.84244932,50.62113558,6232.261451,62.96567996,1697.199844,596.4409221,2.865503721,,,-45.73124932,-36.99873558
Ath29,Harrogate,5802.926,70.753,1243.7237,185.829,7.8934,0,0,5.0926,7.1718,,,16.28979731,18.05591461,57.15639879,56.56717899,51.51826238,8.82532615,7.613096792,5811.751326,88.80891461,1260.013497,237.3472624,15.50649679,,,62.24899879,63.73897899,5794.100674,52.69708539,1227.433903,134.3107376,0.280303208,,,-52.06379879,-49.39537899
Ath9,Harrogate,6869.937,83.7627,2490.8728,272.995,7.0045,0,0,4.1983,5.52,,,18.04660977,16.18152552,34.62142757,26.60316974,34.7432654,18.80214173,5.931815551,6888.739142,99.94422552,2508.91941,307.7382654,12.93631555,,,38.81972757,32.12316974,6851.134858,67.58117448,2472.82619,238.2517346,1.072684449,,,-30.42312757,-21.08316974
Ath10,Harrogate,5817.845,70.9349,1181.4219,206.638,6.8334,0,0,5.2297,5.4704,,,26.12690555,12.85886745,52.65091985,48.31499094,66.74772021,21.13108858,8.660911563,5838.976089,83.79376745,1207.548806,273.3857202,15.49431156,,,57.88061985,53.78539094,5796.713911,58.07603255,1155.294994,139.8902798,-1.827511563,,,-47.42121985,-42.84459094
