"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","X_End","Y_Start","Y_End","Type","Body_Part","Rec_Player","Complete","Height","Comp","BP","dx","dy","distance","angle","pass_deg","xP","PAx"
"113","Ath9","Hartlepool","Rotherham","First Half",00:47:57,"Pass",74.29,90.47,1.86,11.44,"Standard","Right Foot",60,"Incompleted","Ground",0,1,16.18,9.58,18.8,0.53,30.37,0.7,-0.7
"114","Ath5","Hartlepool","Rotherham","First Half",00:48:20,"Pass",46.97,74.88,8.64,8.17,"Standard","Right Foot",60,"Incompleted","Low",0,1,27.91,-0.470000000000001,27.91,-0.02,-1.15,0.63,-0.63
"115","Ath8","Hartlepool","Rotherham","First Half",00:48:51,"Pass",28.86,58.11,57.69,95.05,"Other","Right Foot",10,"Completed","High",1,1,29.25,37.36,47.45,0.91,52.14,0.41,0.59
"116","Ath4","Hartlepool","Rotherham","First Half",00:49:25,"Pass",56.32,58.7,91.32,96.69,"Standard","Right Foot",11,"Completed","Ground",1,1,2.38,5.37,5.87,1.15,65.89,0.78,0.22
"117","Ath11","Hartlepool","Rotherham","First Half",00:49:31,"Pass",59,57.96,88.28,72.4,"Standard","Right Foot",7,"Completed","Low",1,1,-1.04,-15.88,15.91,-1.64,-93.97,0.78,0.22
"118","Ath7","Hartlepool","Rotherham","First Half",00:49:32,"Pass",59.74,34.35,71.93,46.71,"Standard","Right Foot",6,"Completed","Low",1,1,-25.39,-25.22,35.79,-2.36,-135.22,0.64,0.36
"119","Ath6","Hartlepool","Rotherham","First Half",00:49:36,"Pass",34.06,16.98,45.77,42.74,"Standard","Left Foot",1,"Completed","Ground",1,2,-17.08,-3.03,17.35,-2.97,-170.17,0.77,0.23
"120","Ath1","Hartlepool","Rotherham","First Half",00:49:38,"Pass",16.54,65.23,42.5,15.41,"Standard","Right Foot",60,"Incompleted","High",0,1,48.69,-27.09,55.72,-0.51,-29.22,0.38,-0.38
"121","Ath10","Hartlepool","Rotherham","First Half",00:50:43,"Pass",75.33,92.1,66.79,61.19,"Through Ball","Right Foot",7,"Completed","Ground",1,1,16.77,-5.60000000000001,17.68,-0.32,-18.33,0.73,0.27
"122","Ath7","Hartlepool","Rotherham","First Half",00:50:46,"Pass",98.04,94.18,66.09,53.48,"Cross","Right Foot",60,"Incompleted","Low",0,1,-3.86,-12.61,13.19,-1.87,-107.14,0.8,-0.8
"123","Ath9","Hartlepool","Rotherham","First Half",00:50:48,"Pass",92.55,91.66,55.12,43.44,"Standard","Right Foot",4,"Completed","Ground",1,1,-0.890000000000001,-11.68,11.71,-1.65,-94.54,0.81,0.19
