"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","Y_Start","X_End","Y_End","Additional_Info","Type","Body_Part","Rec_Player","Complete","Height","Corner_Type","Outcome","Foul_Type","Event_Won","Offence","Shot_Outcome","Possession_Type","GK_Type","Interception_Type","Assist_Type","Card_Type","Duel_Type","Duel_Outcome","Dribble_Outcome","Beaten_By","Block_Outcome","Block_Body_Part","Clearance_Type","Player_On","Player_Off","Sub_Type"
"65",9,"Hartlepool","Rotherham","First Half",00:13:33,"Pass",57.22,35.03,54.99,58.85,NA,"Standard","Right Foot","Ath4","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",4,"Hartlepool","Rotherham","First Half",00:13:35,"Pass",55.14,58.39,56.18,101.83,NA,"Standard","Right Foot","Opposition","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",3,"Hartlepool","Rotherham","First Half",00:13:52,"Duel",15.05,85.48,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"68",11,"Hartlepool","Rotherham","First Half",00:14:15,"Throw in",17.87,100.66,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",9,"Hartlepool","Rotherham","First Half",00:14:16,"Pass",39.7,96.46,37.32,87.35,NA,"Standard","Right Foot","Ath8","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",8,"Hartlepool","Rotherham","First Half",00:14:18,"Pass",35.99,83.14,43.56,87.81,NA,"Standard","Right Foot","Ath9","Completed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",6,"Hartlepool","Rotherham","First Half",00:14:24,"Duel",31.24,28.72,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"72",7,"Hartlepool","Rotherham","First Half",00:14:26,"Foul",54.25,17.28,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,"Won","Free Kick","Pushing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2,"Hartlepool","Rotherham","First Half",00:14:41,"Free Kick",54.1,15.41,67.9,3.73,NA,"Pass","Right Foot","AthNA",NA,NA,NA,"Blocked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",7,"Hartlepool","Rotherham","First Half",00:14:43,"Dribble",64.04,3.73,75.77,18.21,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
"75",7,"Hartlepool","Rotherham","First Half",00:14:46,"Pass",77.55,17.28,80.67,35.03,NA,"Cross","Left Foot","Ath4","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",4,"Hartlepool","Rotherham","First Half",00:14:46,"Dribble",81.12,35.96,86.16,35.96,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsuccessful",NA,NA,NA,NA,NA,NA,NA
"77",9,"Hartlepool","Rotherham","First Half",00:14:49,"Duel",87.05,18.91,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"78",9,"Hartlepool","Rotherham","First Half",00:14:49,"Dribble",87.05,19.85,95.81,5.13,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
